"mmsi";"poly1"
273354540;"id_iso_99_26"
273552400;"id_iso_99_26"
273354540;"id_iso_99_27"
273552400;"id_iso_99_27"
273550400;"id_iso_99_27"
231208000;"id_iso_99_28"
305411000;"id_iso_99_28"
304882000;"id_iso_99_28"
231201000;"id_iso_99_28"
305081000;"id_iso_99_28"
231766000;"id_iso_99_28"
305846000;"id_iso_99_28"
57173720;"id_iso_99_28"
231711000;"id_iso_99_28"
231209000;"id_iso_99_28"
305082000;"id_iso_99_28"
273213500;"id_iso_99_28"
982585921;"id_iso_99_28"
305844000;"id_iso_99_28"
982570201;"id_iso_99_28"
351364001;"id_iso_99_28"
273550400;"id_iso_99_28"
982577361;"id_iso_99_28"
231763000;"id_iso_99_28"
231774000;"id_iso_99_28"
982590400;"id_iso_99_28"
982590401;"id_iso_99_28"
273447010;"id_iso_99_29"
273354540;"id_iso_99_29"
273550400;"id_iso_99_29"
273552400;"id_iso_99_29"
273216200;"id_iso_99_29"
311988000;"id_iso_99_30"
982570201;"id_iso_99_30"
273447010;"id_iso_99_31"
273354540;"id_iso_99_31"
273216200;"id_iso_99_31"
273555000;"id_iso_99_31"
308095000;"id_iso_99_32"
982593171;"id_iso_99_32"
231208000;"id_iso_99_33"
271042836;"id_iso_99_33"
304882000;"id_iso_99_33"
305846000;"id_iso_99_33"
231766000;"id_iso_99_33"
305771000;"id_iso_99_33"
308241000;"id_iso_99_33"
100900000;"id_iso_99_33"
305081000;"id_iso_99_33"
231823000;"id_iso_99_33"
305082000;"id_iso_99_33"
375431000;"id_iso_99_33"
209445000;"id_iso_99_33"
982585920;"id_iso_99_33"
314259000;"id_iso_99_33"
304010996;"id_iso_99_33"
248384000;"id_iso_99_33"
235068802;"id_iso_99_34"
982585921;"id_iso_99_34"
982585920;"id_iso_99_34"
982583110;"id_iso_99_34"
982583111;"id_iso_99_34"
982590400;"id_iso_99_34"
241128000;"id_iso_99_35"
371579000;"id_iso_99_35"
355568000;"id_iso_99_35"
256507000;"id_iso_99_35"
241210000;"id_iso_99_35"
441381000;"id_iso_99_35"
273447010;"id_iso_99_36"
220003000;"id_iso_99_36"
538004907;"id_iso_99_36"
273354540;"id_iso_99_36"
566336000;"id_iso_99_37"
212848000;"id_iso_99_37"
241128000;"id_iso_99_37"
371579000;"id_iso_99_37"
477239000;"id_iso_99_37"
219003118;"id_iso_99_37"
249377000;"id_iso_99_37"
231209000;"id_iso_99_37"
234112000;"id_iso_99_37"
305530000;"id_iso_99_37"
305426000;"id_iso_99_37"
355568000;"id_iso_99_37"
231208000;"id_iso_99_37"
248105000;"id_iso_99_37"
354205000;"id_iso_99_37"
256507000;"id_iso_99_37"
538003664;"id_iso_99_37"
